5.61,7.05,5808,1,1611519
9.42,8.97,248,1,1605271
9.06,7.22,294,0,1596574
9.25,6.87,3540,1,1593694
8.48,7.18,319,0,1593116
9.19,8.81,349,0,1588373
8.85,4.6,119,0,1576333
7.68,6.79,467,1,1573621
7.54,5.61,2559,1,1571432
8.02,7.99,544,0,1562486
9.38,8.77,730,1,1561815
9.93,7.66,1684,1,1552055
6.52,5.88,909,1,1534911
9.2,8.57,2336,1,1534407
9.51,8.19,120,1,1521842
9.3,8.22,229,0,1515356
9.43,8.59,208,0,1515104
9.04,7.08,268,0,1511145
9.43,8.93,1606,1,1507084
9.22,7.31,471,0,1500830
10,7.41,1230,0,1496214
9.58,9.37,386,0,1484843
9.6,8.64,88,0,1478573
8.33,6.94,5342,0,1472006
9.01,6.84,46,1,1466830
9.61,6.99,104,1,1462280
7.79,8.66,413,1,1452872
9.26,8.31,447,0,1445124
7.82,6.68,5805,1,1441964
9.44,7.84,86,1,1438353
8.49,7.14,111,0,1438056
8.45,7.75,2847,1,1426873
9.17,7.78,2603,0,1416053
8.9,6.85,1715,0,1407681
9.44,8.86,76,0,1402609
8.08,8.28,360,1,1399771
9.57,8.22,349,0,1397526
8.49,4.74,103,1,1394110
8.71,7.44,220,1,1373873
8.62,7.45,5486,1,1362634
9.21,8.64,2609,0,1362114
9.53,7.85,113,1,1356180
9.09,7.46,2467,1,1346754
8.33,7.1,2028,1,1346274
9.05,7.89,1145,0,1345025
7.88,6.38,90,1,1338411
8.52,7.76,4408,1,1328890
9.13,8.78,495,0,1328394
8.74,7.97,81,0,1321751
8.91,6.02,848,1,1321005
9.26,9.37,22,0,1320830
9.4,8.55,323,0,1311190
9.57,7.18,1957,1,1310895
8.74,7.53,47,0,1307873
9.1,8.86,741,0,1307688
9.26,8.18,482,0,1305826
9.07,8.22,922,0,1303452
9.66,7.15,293,0,1278894
8.54,9.23,746,1,1277800
9.06,8.97,143,0,1277301
9.46,7.89,219,1,1247015
8.81,6.87,1903,1,1246185
8.97,8.09,85,1,1240953
8.04,7.55,451,1,1233582
8.82,7.7,211,0,1231024
9.42,6.83,1220,1,1228673
8.85,8.29,3550,1,1225142
8.29,7.51,2089,1,1221420
9.47,7.33,39,0,1221352
9.59,7.26,131,0,1219637
8.86,7.04,3993,0,1212270
8.97,6.28,127,0,1209538
9.01,7.21,1589,0,1207732
9.01,8.01,1543,0,1206101
9.06,6.94,3938,1,1204666
8.94,7.11,3729,1,1202058
8.97,7.57,1410,1,1201640
